name,address,monthly_fee_yen,url
城沼駐車場,埼玉県羽生市東8-12-1,4322.0,https://www.park-direct.jp/parkinglot/PK000061082
篠崎駐車場,埼玉県羽生市西5-35-13,4322.0,https://www.park-direct.jp/parkinglot/PK000061083
田辺駐車場,埼玉県羽生市西5-30-1,4322.0,https://www.park-direct.jp/parkinglot/PK000061084
田辺第2駐車場,埼玉県羽生市西5-18-1,4322.0,https://www.park-direct.jp/parkinglot/PK000061085
キッコーミネ駐車場,埼玉県羽生市南7-2-5,4917.0,https://www.park-direct.jp/parkinglot/PK000061086
堀越駐車場,埼玉県羽生市藤井上組1341-1,3729.0,https://www.park-direct.jp/parkinglot/PK000061087
ブルースカイ駐車場,埼玉県羽生市東7-9-12,4322.0,https://www.park-direct.jp/parkinglot/PK000061088
針谷中央駐車場,埼玉県羽生市中央5-13-24,5510.0,https://www.park-direct.jp/parkinglot/PK000061089
松本西駐車場,埼玉県羽生市西3-3地内,4322.0,https://www.park-direct.jp/parkinglot/PK000061091
吹上駐車場,埼玉県鴻巣市南1丁目7,5510.0,https://www.park-direct.jp/parkinglot/PK000061092
富田駐車場,埼玉県羽生市西2-4-21,6621.0,https://www.park-direct.jp/parkinglot/PK000061093
針谷西口駐車場,埼玉県羽生市西2-1613-2,6621.0,https://www.park-direct.jp/parkinglot/PK000061094
小川駐車場,埼玉県羽生市東9-3-9,4322.0,https://www.park-direct.jp/parkinglot/PK000061095
西羽生駐車場,埼玉県羽生市西5-33-3,3729.0,https://www.park-direct.jp/parkinglot/PK000061097
太田西駐車場,埼玉県羽生市西3-2地内,3729.0,https://www.park-direct.jp/parkinglot/PK000061098
井野岡駐車場,埼玉県羽生市南羽生4-2,3729.0,https://www.park-direct.jp/parkinglot/PK000061099
富田南駐車場,埼玉県羽生市南3-8-12,4917.0,https://www.park-direct.jp/parkinglot/PK000061100
関口駐車場,埼玉県羽生市南6-14-10,4322.0,https://www.park-direct.jp/parkinglot/PK000061101
南3丁目駐車場,埼玉県羽生市南3-12-21,9592.0,https://www.park-direct.jp/parkinglot/PK000061102
シベ駐車場,埼玉県羽生市南5-19-39,4917.0,https://www.park-direct.jp/parkinglot/PK000061103
松本中央駐車場,埼玉県羽生市中央3-7-1,7216.0,https://www.park-direct.jp/parkinglot/PK000061104
モータープール松本駐車場,埼玉県羽生市西5-7-1,5510.0,https://www.park-direct.jp/parkinglot/PK000061105
清水駐車場,埼玉県羽生市南8-6-9,4322.0,https://www.park-direct.jp/parkinglot/PK000061106
大久保駐車場,埼玉県羽生市南3-2地内,6621.0,https://www.park-direct.jp/parkinglot/PK000061107
ヴィラージュ駐車場,埼玉県羽生市中央4-8-6,6028.0,https://www.park-direct.jp/parkinglot/PK000061108
太田南駐車場,埼玉県羽生市南1-6-15,6621.0,https://www.park-direct.jp/parkinglot/PK000061123
木村西口駐車場,埼玉県羽生市西2-3-10,6621.0,https://www.park-direct.jp/parkinglot/PK000061125
新井中央駐車場,埼玉県羽生市中央3-5-30,6028.0,https://www.park-direct.jp/parkinglot/PK000061126
明和駅前駐車場,群馬県邑楽郡明和町新里44,3729.0,https://www.park-direct.jp/parkinglot/PK000063119
入江第二駐車場,埼玉県羽生市中央2-3-9,6028.0,https://www.park-direct.jp/parkinglot/PK000063120
入江第三駐車場,埼玉県羽生市南1-1566-4,4917.0,https://www.park-direct.jp/parkinglot/PK000063121
ひまわり駐車場,埼玉県羽生市東7-14-4,4322.0,https://www.park-direct.jp/parkinglot/PK000063122
大久保久喜駐車場,埼玉県久喜市野久喜776-8,5564.0,https://www.park-direct.jp/parkinglot/PK000063123
田口駐車場,埼玉県羽生市南8-13-8,4322.0,https://www.park-direct.jp/parkinglot/PK000063124
MTS駐車場,埼玉県羽生市中央3-199-3,7809.0,https://www.park-direct.jp/parkinglot/PK000063125
(確認中),,,https://www.park-direct.jp/parkinglot/PK000063126
とさきや駐車場,埼玉県羽生市南2-16-9,4322.0,https://www.park-direct.jp/parkinglot/PK000063127
とさきや裏駐車場,埼玉県羽生市中央3-2-23,3729.0,https://www.park-direct.jp/parkinglot/PK000063128
中田駐車場,埼玉県羽生市中央2-3-10,6028.0,https://www.park-direct.jp/parkinglot/PK000063129
出井駐車場,埼玉県羽生市南羽生4-19地内,2541.0,https://www.park-direct.jp/parkinglot/PK000063130
柿沼南羽生駐車場,埼玉県羽生市南羽生1-13-35,3729.0,https://www.park-direct.jp/parkinglot/PK000063131
金子北小駐車場,埼玉県羽生市中央4-9-12,4917.0,https://www.park-direct.jp/parkinglot/PK000063132
南2丁目駐車場,埼玉県羽生市南二丁目1地内,4917.0,https://www.park-direct.jp/parkinglot/PK000119268
クロス南2丁目駐車場,埼玉県羽生市南2-9-7,4322.0,https://www.park-direct.jp/parkinglot/PK000123835
